Edible?,Cap-shape,Cap-surface,Cap-color,Bruises?,Odor,Gill-attacment,Gill-spacing,Gill-size,Gill-color,Stalk-shape,Stalk-root,Stalk-surface-above-ring,Stalk-surface-below-ring,Stalk-color-above-ring,Stalk-color-below-ring,Veil-Type,Veil-Color,Ring-number,Ring-Type,Spore-print-color,Population,Habitat,Species
e,x,f,g,t,,f,c,b,w,e,,y,y,w,w,p,w,o,p,n,y,d,Agaricus haemorrhoidarius
,f,y,e,,,,,,p,,,k,k,p,p,,,,,,v,,Agaricus haemorrhoidarius
,,,n,,,,,,n,,,,,g,g,,,,,,s,,Agaricus haemorrhoidarius
,,,,,,,,,u,,,,,,,,,,,,,,Agaricus haemorrhoidarius
p,x,s,w,,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,s,d,Agaricus hondensis
,,f,p,,f,,w,,p,,,,,,,,,,f,,v,,Agaricus hondensis
,,,g,,,,,,u,,,,,,,,,,,,,,Agaricus hondensis
,,,,,,,,,n,,,,,,,,,,,,,,Agaricus hondensis
p,x,f,g,t,f,f,c,b,g,t,b,k,k,b,b,p,w,o,l,h,y,d,Agaricus meleagris
,f,y,n,,,,,,p,,,,,p,p,,,,,,v,g,Agaricus meleagris
,,,,,,,,,h,,,,,n,n,,,,,,s,p,Agaricus meleagris
e,x,y,w,,,f,c,n,w,e,,s,f,w,w,p,w,o,f,h,y,d,Agaricus subrutilescens
,f,,,,,,w,,p,,,,,,,,,,,,v,,Agaricus subrutilescens
,,,,,,,,,u,,,,,,,,,,,,n,,Agaricus subrutilescens
,,,,,,,,,h,,,,,,,,,,,,,,Agaricus subrutilescens
p,x,s,w,t,f,f,c,b,w,e,b,s,s,w,w,p,w,o,f,h,s,u,Agaricus xanthodermus
,f,,g,,,,,,p,,,f,f,,,,,,p,,v,p,Agaricus xanthodermus
,,,,,,,,,h,,,,,,,,,,,,,g,Agaricus xanthodermus
